ID,Title,Author,Year,Format,File
1,Sistem Hukum Indonesia,Sahat Maruli,2020,PDF,ebook/Buku Sistem Hukum Indonesia.pdf
2,Buku Ajar Psikologi Kepribadian,Raissa Dwifandra Putri,2025,PDF,ebook/Buku Ajar Psikologi Kepribadian.pdf
3,Hukum Islam,Wahyudin Darmalaksana,2022,PDF,ebook/Buku Hukum Islam.pdf
4,Ilmu Hukum Suatu Pengantar,Yapiter Marpi,2020,PDF,ebook/Buku Pengantar Ilmu Hukum.pdf
5,Teori Ekonomi, Priyono Zaenudin Ismail,2012,PDF,ebook/Buku Teori Ekonomi.pdf
6,Teori Hukum Pancasila,Abdul Aziz Nasihuddin,2024,PDF,ebook/Buku Teori Hukum Pancasila.pdf
7,Resume Kuliah Tamu,Hana Aulia Gusnanda,2025,PDF,ebook/Hana Aulia Gusnanda 149 Resume Kuliah Tamu.pdf
8,Pengantar Antropologi Agama,Husnul Qodim,2021,PDF,ebook/Pengantar Antropologi Agama.pdf
9,Pengantar Hukum Indonesia,Rahman Syamsuddin,2019,PDF,ebook/Pengantar Hukum Indonesia.pdf
10,Pengantar Umum Psikologi,Kandi,2023,PDF,ebook/Pengantar Psikologi Umum.pdf
